Date,Total crimes per day,Total homicides per day,Total drug related crimes per day
2014-09-01,378,1,17
2014-09-02,411,0,25
2014-09-03,385,2,14
2014-09-04,473,0,32
2014-09-05,442,0,19
2014-09-06,433,0,10
2014-09-07,353,1,16
2014-09-08,398,0,16
2014-09-09,433,0,24
2014-09-10,462,0,28
2014-09-11,404,0,18
2014-09-12,420,0,17
2014-09-13,417,0,15
2014-09-14,396,0,20
2014-09-15,383,0,14
2014-09-16,406,0,16
2014-09-17,395,1,13
2014-09-18,412,0,11
2014-09-19,464,0,11
2014-09-20,480,0,12
2014-09-21,435,0,8
2014-09-22,399,0,10
2014-09-23,425,0,16
2014-09-24,393,0,14
2014-09-25,383,0,8
2014-09-26,467,1,16
2014-09-27,497,0,13
2014-09-28,386,1,6
2014-09-29,411,0,21
2014-09-30,402,0,10
2014-10-01,446,1,14
2014-10-02,398,0,16
2014-10-03,451,0,15
2014-10-04,484,0,17
2014-10-05,432,0,8
2014-10-06,396,0,5
2014-10-07,459,0,10
2014-10-08,393,1,15
2014-10-09,460,0,20
2014-10-10,460,1,8
2014-10-11,521,0,11
2014-10-12,414,0,11
2014-10-13,433,1,25
2014-10-14,447,0,7
2014-10-15,420,1,9
2014-10-16,420,0,13
2014-10-17,438,0,15
2014-10-18,438,1,17
2014-10-19,397,0,11
2014-10-20,399,1,10
2014-10-21,413,0,20
2014-10-22,398,1,17
2014-10-23,438,0,15
2014-10-24,477,0,8
2014-10-25,460,0,5
2014-10-26,392,0,9
2014-10-27,373,0,7
2014-10-28,416,0,12
2014-10-29,494,0,5
2014-10-30,387,0,6
2014-10-31,427,0,12
2014-11-01,475,0,13
2014-11-02,370,0,12
2014-11-03,364,0,8
2014-11-04,396,0,20
2014-11-05,418,1,18
2014-11-06,404,1,14
2014-11-07,433,2,13
2014-11-08,423,0,13
2014-11-09,392,0,19
2014-11-10,417,0,11
2014-11-11,376,0,15
2014-11-12,421,0,9
2014-11-13,376,0,14
2014-11-14,470,0,6
2014-11-15,462,0,10
2014-11-16,373,1,5
2014-11-17,356,0,6
2014-11-18,422,0,18
2014-11-19,361,0,7
2014-11-20,367,0,7
2014-11-21,442,0,13
2014-11-22,450,0,4
2014-11-23,423,0,16
2014-11-24,415,0,10
2014-11-25,432,0,13
2014-11-26,454,1,11
2014-11-27,312,0,7
2014-11-28,403,0,6
2014-11-29,392,0,8
2014-11-30,321,0,6
2014-12-01,428,0,13
2014-12-02,357,0,15
2014-12-03,330,0,7
2014-12-04,357,0,8
2014-12-05,441,0,5
2014-12-06,395,0,7
2014-12-07,362,0,5
2014-12-08,398,0,8
2014-12-09,396,0,9
2014-12-10,411,0,5
2014-12-11,322,0,4
2014-12-12,433,0,2
2014-12-13,415,0,3
2014-12-14,376,0,7
2014-12-15,366,0,3
2014-12-16,355,0,5
2014-12-17,406,0,8
2014-12-18,434,1,20
2014-12-19,448,1,5
2014-12-20,420,0,1
2014-12-21,415,0,2
2014-12-22,440,0,8
2014-12-23,426,0,8
2014-12-24,370,0,11
2014-12-25,257,0,7
2014-12-26,409,0,9
2014-12-27,376,0,6
2014-12-28,361,0,12
2014-12-29,433,0,13
2014-12-30,377,0,13
2014-12-31,401,0,5
