date,Price of Medium Quality,MedQN
2014-01-20,287.4,3746
2014-02-20,287.54,3907
2014-03-20,286.86,4057
2014-04-20,286.01,4196
2014-05-20,285.54,4345
2014-06-20,284.94,4484
2014-07-20,282.79,4664
2014-08-20,283.12,4836
2014-09-20,283.28,4951
2014-10-20,283.01,5076
2014-11-20,282.98,5257
2014-12-20,282.69,5453
2014-01-21,287.38,3754
2014-02-21,287.57,3910
2014-03-21,286.94,4065
2014-04-21,285.99,4201
2014-05-21,285.49,4346
2014-06-21,284.92,4486
2014-07-21,282.82,4668
2014-08-21,283.18,4837
2014-09-21,283.39,4958
2014-10-21,283.06,5077
2014-11-21,283.01,5266
2014-12-21,282.64,5457
2014-01-22,287.49,3761
2014-02-22,287.65,3914
2014-03-22,286.94,4067
2014-04-22,285.95,4211
2014-05-22,285.5,4348
2014-06-22,284.96,4490
2014-07-22,282.8,4670
2014-08-22,283.18,4838
2014-09-22,283.32,4963
2014-10-22,283.09,5080
2014-11-22,282.94,5273
2014-12-22,282.7,5468
2014-01-23,287.65,3768
2014-02-23,287.67,3917
2014-03-23,286.83,4071
2014-04-23,285.91,4217
2014-05-23,285.47,4353
2014-06-23,284.96,4494
2014-07-23,282.82,4676
2014-08-23,283.19,4841
2014-09-23,283.26,4964
2014-10-23,283.07,5082
2014-11-23,283.15,5283
2014-12-23,282.75,5473
2014-01-24,287.71,3771
2014-02-24,287.77,3923
2014-03-24,286.78,4074
2014-04-24,285.98,4223
2014-05-24,285.4,4355
2014-06-24,284.93,4495
2014-07-24,282.96,4682
2014-08-24,283.32,4847
2014-09-24,283.31,4970
2014-10-24,283.13,5087
2014-11-24,283.11,5291
2014-12-24,282.77,5477
2014-01-25,287.66,3774
2014-02-25,287.62,3930
2014-03-25,286.69,4079
2014-04-25,285.97,4228
2014-05-25,285.4,4359
2014-06-25,284.9,4500
2014-07-25,282.99,4685
2014-08-25,283.27,4849
2014-09-25,283.14,4976
2014-10-25,283.12,5090
2014-11-25,283.07,5299
2014-12-25,282.8,5483
2014-01-26,287.6,3776
2014-02-26,287.56,3932
2014-03-26,286.73,4087
2014-04-26,286.01,4233
2014-05-26,285.17,4364
2014-06-26,283.43,4505
2014-07-26,282.91,4690
2014-08-26,283.24,4853
2014-09-26,283.15,4979
2014-10-26,283.05,5093
2014-11-26,283.27,5305
2014-12-26,282.86,5489
2014-01-27,287.65,3782
2014-02-27,287.47,3941
2014-03-27,286.57,4095
2014-04-27,285.94,4237
2014-05-27,285.26,4371
2014-06-27,283.39,4515
2014-07-27,283.01,4695
2014-08-27,283.18,4855
2014-09-27,282.95,4985
2014-10-27,283.1,5100
2014-11-27,283.34,5311
2014-12-27,282.88,5494
2014-01-28,287.4,3794
2014-02-28,287.37,3951
2014-03-28,286.63,4099
2014-04-28,285.93,4243
2014-05-28,285.38,4379
2014-06-28,283.36,4521
2014-07-28,283.04,4696
2014-08-28,283.17,4857
2014-09-28,282.95,4985
2014-10-28,282.95,5105
2014-11-28,283.26,5316
2014-12-28,282.79,5501
2014-01-29,287.41,3800
2014-03-29,286.73,4105
2014-04-29,285.84,4249
2014-05-29,285.58,4387
2014-06-29,283.35,4525
2014-07-29,283.2,4699
2014-08-29,283.19,4858
2014-09-29,282.98,4991
2014-10-29,282.97,5108
2014-11-29,283.24,5324
2014-12-29,282.65,5507
2014-01-30,287.48,3804
2014-03-30,286.69,4108
2014-04-30,285.96,4255
2014-05-30,285.41,4395
2014-06-30,283.41,4527
2014-07-30,283.34,4707
2014-08-30,283.15,4859
2014-09-30,282.95,4995
2014-10-30,282.9,5113
2014-11-30,283.15,5330
2014-12-30,282.56,5513
2014-01-31,287.67,3808
2014-03-31,286.63,4113
2014-05-31,285.24,4400
2014-07-31,283.29,4712
2014-08-31,283.15,4867
2014-10-31,283.02,5118
2014-12-31,282.67,5523
